+' (sf)(AL/NO/NW)	(3'p) for (n)VV+
+[none] (ga)	(0) for (vii)+
+[none] (ga)	(0) for (vii)n+
+aa	(X)>(3)(vta)C+
+a' (sf)(AL/NO/NW)	(3'p) for (n)C+
+a' (sf)(AL/NO/NW)	(3'p) for (n)C+A
+aba (ga)(alt)	(0)(prt) for (vii)n+
+aban (ga)	(0)(prt) for (vii)n+
+aaban (sf)	(prt) for (n)C+A
+abaniin (ga)	(0p)(prt) for (vii)n+
+aad	(3)>(3')(cnj)(vta)C+
+ad	(2)>(3)(cnj)(vta)C+
+aadaa	(21)>(3)(imp)(!)(vta)C+
+aadaanig	(21)>(3p)(imp)(!)(vta)C+
+adig (ga)	(0)(dub) for (vii)n+
+adigenan (ga)	(0p)(dub) for (vii)n+
+adwaa	(2)>(3p)(cnj)(vta)C+
+ag	(1)>(3)(cnj)(vta)C+
+ag (sf)	(3ip) for (pr)C+
+ag (sf)	(3p) for (n)C+
+ag (sf)	(3p) for (n)C+A [(loc) provided]
+ag (sf)	(3'p) for (pr)C+
+aakan	(2)>(3)(imp)(vta)C+
+aakan	(2)>(3p)(imp)(vta)C+
+aakang	(21)>(3)(imp)(vta)C+
+aakang	(21)>(3p)(imp)(vta)C+
+aakeg	(2p)>(3)(imp)(vta)C+
+aakeg	(2p)>(3p)(imp)(vta)C+
+aakegon	(2p)>(3)(imp)(neg)(vta)C+
+aakegon	(2p)>(3p)(imp)(neg)(vta)C+
+aaken	(2)>(3)(imp)(neg)(vta)C+
+aaken	(2)>(3p)(imp)(neg)(vta)C+
+agwaa	(1)>(3p)(cnj)(vta)C+
+aash (sf)	(pej) for (n)C+A
+an (sf)	(0ip) for (pr)C+
+an (sf)	(0'p) for (pr)C+
+an (sf)	(3') for (n)C+
+an (sf)	(3') for (n)C+A
+an (sf) /default/	(0p) for (n)C+
+an (sf) /default/	(0p) for (n)C+A [(loc) provided]
+ang	(21)>(3)(cnj)(vta)C+
+aang (sf)	(loc) for (n)C+A
+ang (sf)	(loc) for (n)a+
+angid	(1p)>(3)(cnj)(vta)C+
+angidwaa	(1p)>(3p)(cnj)(vta)C+
+angwaa	(21)>(3p)(cnj)(vta)C+
+aanh (sf)	(con) for (n)an+ > ø+
+aanh (sf)	(con) for (n)An+ > ø+
+anh (sf)	(con) for (n)a+w
+aans (sf)	(dim) for (n)an+ > ø+
+aans (sf)	(dim) for (n)An+ > ø+
+ans (sf)	(dim) for (n)a+w
+aawaad	(3p)>(3')(cnj)(vta)C+
+aawag	(X)>(3p)(vta)C+
+aasig	(3)>(3')(cnj)(neg)(vta)C+
+aasigwaa	(3p)>(3')(cnj)(neg)(vta)C+
+aasiin	(X)>(3)(neg)(vta)C+
+aasiwad	(2)>(3)(cnj)(neg)(vta)C+
+aasiwaadaa	(21)>(3)(imp)(neg)(vta)C+
+aasiwaadaanig	(21)>(3p)(imp)(neg)(vta)C+
+aasiwadwaa	(2)>(3p)(cnj)(neg)(vta)C+
+aasiiwag	(X)>(3p)(neg)(vta)C+
+aasiwag	(1)>(3)(cnj)(neg)(vta)C+
+aasiwagwaa	(1)>(3p)(cnj)(neg)(vta)C+
+aasiwang	(21)>(3)(cnj)(neg)(vta)C+
+aasiwangid	(1p)>(3)(cnj)(neg)(vta)C+
+aasiwangidwaa	(1p)>(3p)(cnj)(neg)(vta)C+
+aasiwangwaa	(21)>(3p)(cnj)(neg)(vta)C+
+aasiweg	(2p)>(3)(cnj)(neg)(vta)C+
+aasiwegwaa	(2p)>(3p)(cnj)(neg)(vta)C+
+aasiwind	(X)>(3)(cnj)(neg)(vta)C+
+aasiwindwaa	(X)>(3p)(cnj)(neg)(vta)C+
+ba (ga)(alt)	(0)(prt) for (vii)+
+ban (ga)	(0)(prt) for (vii)+
+ban (ga)	(0)(prt) for (vii)+n
+ban (sf)	(prt) for (n)VV+
+baniin (ga)	(0p)(prt) for (vii)+
+baniin (ga)	(0p)(prt) for (vii)+n
+d (ga)	(0) for (vii)+d
+daba (ga)(alt)	(0)(prt) for (vii)+d
+daban (ga)	(0)(prt) for (vii)+d
+dabaniin (ga)	(0p)(prt) for (vii)+d
+dadig (ga)	(0)(dub) for (vii)+d
+dadigenan (ga)	(0p)(dub) for (vii)+d
+ dig (ga)	(0)(dub) for (vii)+
+ dig (ga)	(0)(dub) for (vii)+n
+ dig (sf)(alt)	(2p)(voc) for (n)Cw+ > Co+
+ dig (sf)(alt)	(2p)(voc) for (n)VV+
+ digenan (ga)	(0p)(dub) for (vii)+
+ digenan (ga)	(0p)(dub) for (vii)+n
+ digobaniin (ga)	(0p)(prt)(dub) for (vii)+d
+dini (ga)	(0') for (vii)+d
+dinig (ga)	(0')(cnj) for (vii)+d
+dinig (ga)	(0'p)(cnj) for (vii)+d
+dinigiba (ga)(alt)	(0')(cnj)(prt) for (vii)+d
+dinigiba (ga)(alt)	(0'p)(cnj)(prt) for (vii)+d
+dinigiban (ga)	(0')(cnj)(prt) for (vii)+d
+dinigiban (ga)	(0'p)(cnj)(prt) for (vii)+d
+dinigoba (ga)(alt)	(0')(prt)(dub) for (vii)+d
+dinigoba (ga)(NE)(alt)	(0')(prt)(dub) for (vii)+d
+dinigoban (ga)	(0')(prt)(dub) for (vii)+d
+dinigoban (ga)(NE)	(0')(prt)(dub) for (vii)+d
+dinigobane (ga)(alt)	(0')(cnj)(prt)(dub) for (vii)+d
+dinigobane (ga)(alt)	(0'p)(cnj)(prt)(dub) for (vii)+d
+dinigobanen (ga)	(0')(cnj)(prt)(dub) for (vii)+d
+dinigobanen (ga)	(0'p)(cnj)(prt)(dub) for (vii)+d
+dinigobaniin (ga)	(0'p)(prt)(dub) for (vii)+d
+dinigobaniin (ga)(NE)	(0'p)(prt)(dub) for (vii)+d
+dinigwen (ga)(alt)	(0')(cnj)(dub) for (vii)+d
+dinigwen (ga)(alt)	(0'p)(cnj)(dub) for (vii)+d
+dinigwenh (ga)	(0')(cnj)(dub) for (vii)+d
+dinigwenh (ga)	(0'p)(cnj)(dub) for (vii)+d
+diniwaba (ga)(NE)(alt)	(0')(prt) for (vii)+d
+diniwaban (ga)(NE)	(0')(prt) for (vii)+d
+diniwabaniin (ga)(NE)	(0'p)(prt) for (vii)+d
+diniwadig (ga)(NE)	(0')(dub) for (vii)+d
+diniwadigenan (ga)(NE)	(0'p)(dub) for (vii)+d
+diniwan (ga)	(0'p) for (vii)+d
+diniwiba (ga)(alt)	(0')(prt) for (vii)+d
+diniwiban (ga)	(0')(prt) for (vii)+d
+diniwibaniin (ga)	(0'p)(prt) for (vii)+d
+diniwidig (ga)	(0')(dub) for (vii)+d
+diniwidigenan (ga)	(0'p)(dub) for (vii)+d
+ji' (sf)(AL/NO/NW)	(3'p) for (n)(pt)d+ > ø+
+jig (sf)	(3p) for (n)(pt)d+ > ø+
+jish (sf)	(pej) for (n)(pt)d+ > ø+
+jin (sf)	(3') for (n)(pt)d+ > ø+
+jin (sf) /default/	(0p) for (n)(pt)d+ > ø+
+dog (sf)	(2p)(voc) for (n)Cw+ > Co+
+dog (sf)	(2p)(voc) for (n)VV+
+dogoba (ga)(alt)	(0)(prt)(dub) for (vii)+d
+dogoban (ga)	(0)(prt)(dub) for (vii)+d
+dogobane (ga)(alt)	(0)(cnj)(prt)(dub) for (vii)+d
+dogobane (ga)(alt)	(0p)(cnj)(prt)(dub) for (vii)+d
+dogobanen (ga)	(0)(cnj)(prt)(dub) for (vii)+d
+dogobanen (ga)	(0p)(cnj)(prt)(dub) for (vii)+d
+dogwen (ga)(alt)	(0)(cnj)(dub) for (vii)+d
+dogwen (ga)(alt)	(0p)(cnj)(dub) for (vii)+d
+dogwenh (ga)	(0)(cnj)(dub) for (vii)+d
+dogwenh (ga)	(0p)(cnj)(dub) for (vii)+d
+doon (ga)	(0p) for (vii)+d
+eg	(2p)>(3)(cnj)(vta)C+
+egwaa	(2p)>(3p)(cnj)(vta)C+
