(")	(word\phrase contraction mark)
((...)C)	(ends with a C) [specific C can be provided]
((...)V)	(ends with a V) [specific V can be provided]
(...!)	(emphatic)
(...+)	(affix boundary)
(...')	(obviative 1°)
(...'')	(obviative 2°)
(...''')	(obviative 3°)
(...’s)	(possessive)
(...=)	(word fragment boundary)
(...0)	(inanimate other)
(...0p)	(inanimate others)
(...0X)	(inanimate some other(s))
(...1)	(animate speaker)
(...1p)	(animate speakers)
(...2)	(animate listener)
(...21)	(animate listener(s) and speaker(s))
(...2p)	(animate listeners)
(...3)	(animate other)
(...3p)	(animate others)
(...3X)	(animate some other)
(...p)	(plural)
(...d)	(demonstrative)
(...D)	(dependent)
(...i)	(interrogative)
(...X)	(animate another)
(<)	(by/from __)
(<>)	(varies as __)
(>)	(to/becomes __)
(A)	(a to aa shift V)
(AB)	((geo) in Alberta)
(ad)	(adverb)
(AL)	(E. Ojibwe/Algonquin Dialect)
(alt)	(alternate)
(AR)	((geo) in Arkansas)
(PA)	((geo) in Pennsylvania)
(BC)	((geo) in British Columbia)
(pc)	(particle)
(PE)	((geo) in Prince Edward Island)
(pf)	(prefix)
(PO)	(S. Ojibwe/Potawatomi Dialect)
(pr)	(pronoun)
(prt)	(preterit mode)
(pv)	(preverb)
(pv1)	(tense/aspect/mood/syntactic (pf))
(pv1)[a]	(pv1) of subordinator
(pv1)[b]	(pv1) of mode
(pv1)[c]	(pv1) of tense
(pv1)[d]	(pv1) of negativity
(pv2)	(directional (pf))
(pv3)	(relational (pf))
(pv4)	(lexical (pf))
(pv4)[a]	(pv4) of aspect
(pv4)[b]	(pv4) of manner or degree or quality/evaluative or quantitative/numeric
(C(__))	(begins with a C) [specific C can be provided]
(C)	(consonant)
(CC)	(consonant -- non-weak)
(CT)	((geo) in Connecticut)
(CN)	(N. Superior Ojibwe Dialect)
(cnj)	(conjunct/"B" form)
(CS)	(S. Superior Ojibwe Dialect)
(DA)	(Dakota Language)
(DC)	((geo) in the District of Columbia)
(DE)	((geo) in Delaware)
(TH)	(thing: inanimate indefinite object)
(dmaf)	(diminutive: affective)
(dmpd)	(diminutive: productive)
(dmpj)	(diminutive: pejorative)
(dmct)	(diminitive: contemptive)
(dmot)	(diminitive: other)
(dub)	(dubitative mode)
(EN)	(English Language)
