(ga)	+[none]	[< +w= (ga)(RT)]
(vta)	=a'azh	[< =a'aN= (vta)(RT)]
(vta)(RT)	=a'aN=	[> =a'azh (vta)]
(vta)	=apizh	[< =apiN= (vta)(RT)]
(vta)(RT)	=apiN=	[> =apizh (vta)]
(vai)	=aaboono	[> =aabono (vai)(SE)]
(vai)(SE)	=aabono	[<> =aaboono (vai)]
(vai)	=aadagaa	[<> =aadage (vai)(NE/NW)]
(vai)(NE/NW)	=aadage	[<> =aadagaa (vai)]
(vii)(RT)	=aagami=	[> =aagamin (vii)]
(vii)	=aagamin	[< =aagami= (vii)(RT)]
(vta)	=aakiz	[< =aakizw= (vta)(RT)]
(vta)(RT)	=aakizw=	[> =aakiz (vta)]
(vai)	=akwane	[<> =akone (vai)]
(vii)(SW/NW)	=agonde	[> =angode (vii)(NW/WO)]
(vai)(SW/NW)	=agonjin	[> =angojin (vai)(NW/WO)]
(vai)	=akone	[<> =akwane (vai)]
(vii)(RT)	=amo=	[> =amon (vii)]
(vii)	=amon	[< =amo= (vii)(RT)]
(vii)(NW/WO)	=angode	[<> =agonde (vii)(SW/NW)]
(vai)(NW/WO)	=angojin	[<> =agonjin (vai)(SW/NW)]
(vta)	=bii'	[< =bii'w= (vta)(RT)]
(vta)(RT)	=bii'w=	[> =bii' (vta)]
(vai)	=boono	[> =bono (vai)(SE)]
(vai)(SE)	=bono	[<> =boono (vai)]
(vii)	=jiwan	[< =jiwan+A= (vii)(RT)]
(vii)	=jiwan	[<> =jiwanw= (vii)(RT)(NE/CN/NW/WO)]
(vii)(RT)	=jiwan+A=	[> =jiwan (vii)]
(vii)(RT)(NE/CN/NW/WO)	=jiwanw=	[<> =jiwan (vii)]
(vta)	=ebizh	[< =ebiN= (vta)(RT)]
(vta)(RT)	=ebiN=	[> =ebizh (vta)]
(vai2)	=endam	[<> =enindam (vai2)(AL/NO)]
(vti)	=endan	[<> =enindan (vti)(AL/NO)]
	=enh+yag	[<> =enzh+ag (AL)]
	=enh+yan	[<> =enzh+an (AL)]
(vai2)(AL/NO)	=enindam	[<> =endam (vai2)]
(vti)(AL/NO)	=enindan	[<> =endan (vti)]
(AL)	=enzh+ag	[<> =enh+yag]
(AL)	=enzh+an	[<> =enh+yan]
(pc)	=gwan	[<> =gon (pc)]
(vai)	=kwana'e	[<> =kwanaye (vai)]
(vai)	=kwanaye	[<> =kwana'e (vai)]
(pc)	=gon	[<> =gwan (pc)]
(vai)	=kona'e	[<> =konaye (vai)]
(vai)	=konaye	[<> =kona'e (vai)]
(SW)	=koonzh+an	[<> =koozh+an (NW/CS)]
(NW/CS)	=koozh+an	[<> =koonzh+an (SW)]
(vii)(RT)	=ipo=	[> =ipon (vii)]
(vii)	=ipon	[< =ipo= (vii)(RT)]
(vai)	=ingwaam	[<> =ingwaami (vai)(CN/NW)]
(vai)(CN/NW)	=ingwaami	[<> =ingwaam (vai)]
(vii)(RT)	=mo=	[< =mo= (vii)(RT)]
(vii)(RT)	=mo=	[> =mon (vii)]
(vai)(NW/WO)	=nagwaye	[<> =nagweyaa (vai)]
(vai)	=nagweyaa	[> =nagwaye (vai)(NW/WO)]
(vta)	=nazh	[< =naN= (vta)(RT)]
(vta)	=naamoz	[< =naamozw= (vta)(RT)]
(vta)(RT)	=naamozw=	[> =naamoz (vta)]
(vta)(RT)	=naN=	[> =nazh (vta)]
(vai)	=ngwaam	[<> =ngwaami (vai)(CN/NW)]
(vai)(CN/NW)	=ngwaami	[<> =ngwaam (vai)]
	=wayaan+ag	[> =weyaan+ag]
(vta)	=webizh	[< =webiN= (vta)(RT)]
(vta)(RT)	=webiN=	[> =webizh (vta)]
	=weyaan+ag	[<> =wayaan+ag]
(loc)	+aang	[> +ong (loc)]
(ga)	+ini	[< +iniw= (ga)(RT)]
(ga)(RT)	+iniw=	[> +ini (ga)]
(pf)(WO)	ni+	[< nim= (pf)]
(pf)(WO)	ni+	[< nin= (pf)]
(ga)	+ni	[< +niw= (ga)(RT)]
(ga)(RT)	+niw=	[> +ni (ga)]
(ga)(RT)	+w=	[> +[none] (ga)]
(loc)	+ong	[<> +aang (loc)]
(ga)	+sinini	[< +sininiw= (ga)(RT)]
(ga)	+zinini	[< +zininiw= (ga)(RT)]
(ga)(RT)	+sininiw=	[> +sinini (ga)]
(ga)(RT)	+zininiw=	[> +zinini (ga)]
(pv2)(IC)	[none]	[< baa- (pv2)]
	a	[< 'a]
	a	[< a'a]
	a	[< a'aw]
	a	[< aw]
	a	[< 'aw]
	a	[< wa'a (WO)]
	'a	[< a'aw]
	'a	[< aw]
	'a	[< 'aw]
	'a	[> a]
	a=	[> aya= (RD)]
	a=	[> e= (IC)]
	'a=	[> 'e= (IC)]
	aa=	[> aa'aa= (RD)(NW/WO)]
	aa=	[> aayaa= (RD)]
	aa=	[> ayaa= (IC)]
	'aa=	[> 'ayaa= (IC)]
(IC)	aa=	[< ii=]
(IC)	'aa=	[< 'ii=]
	a'a	[< wa'a (WO)]
	a'a	[> a]
(RD)(NW/WO)	aa'aa=	[< aa=]
(pv4)(RD)(NW/WO)	aa'aazhawi-	[<> aayaazhawi- (pv4)(RD)]
	a'aw	[> a]
	a'aw	[> 'a]
	a'aw	[> aw]
	a'aw	[> 'aw]
(pr3d)	a'awedi	[> awedi (pr3d)]
(vta)(RT)(AL)	aaba'=	[<> aaba'w= (vta)(RT)(AL/CS/SW)]
(vta)	aaba'	[< aaba'w= (vta)(RT)(AL/CS/SW)]
(vta)	abaabas	[< abaabasw= (vta)(RT)]
(vta)(RT)	abaabasw=	[> abaabas (vta)]
(vta)	aabaabika'	[< aabaabika'w= (vta)(RT)]
(vta)(RT)	aabaabika'w=	[> aabaabika' (vta)]
(vta)	aabaabikwa'	[< aabaabikwa'w= (vta)(RT)]
(vta)(RT)	aabaabikwa'w=	[> aabaabikwa' (vta)]
(vta)	aabaabikwi'	[< aabaabikwi'w= (vta)(RT)]
(vta)(RT)	aabaabikwi'w=	[> aabaabikwi' (vta)]
(vta)	apaabowaazh	[< apaabowaaN= (vta)(RT)]
(vta)(RT)	apaabowaaN=	[> apaabowaazh (vta)]
(vta)(NW)	aabaji'	[< aabaji'w= (vta)(RT)]
(vta)	aabaji'	[<> aabajiy (vta)(AL)]
(vta)(AL)	aabajiy	[<> aabaji' (vta)]
(vta)(NW)(RT)	aabaji'w=	[> aabaji' (vta)]
	abagashk+oon	[< nabagashk+oon]
(vta)	abaakaamas	[< abaakaamasw= (vta)(RT)]
(vta)(RT)	abaakaamasw=	[> abaakaamas (vta)]
(vta)	apagizh	[< apagiN= (vta)(RT)]
(vta)(RT)	apagiN=	[> apagizh (vta)]
(CS)	apaakwaanaatig+oog	[> baakwaanaatig]
